"group","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"bulk",7,"200-500","Bare Ground","stable_flicker",1,0.01,0.02
"bulk",7,"200-500","Bare Ground","unsettled",1962,19.62,41.12
"bulk",7,"200-500","Built Area","break_endpoint",256,2.56,1.49
"bulk",7,"200-500","Built Area","break_sustained",63,0.63,0.37
"bulk",7,"200-500","Built Area","stable",13458,134.58,78.38
"bulk",7,"200-500","Built Area","stable_flicker",2109,21.09,12.28
"bulk",7,"200-500","Built Area","unsettled",1285,12.85,7.48
"bulk",7,"200-500","Clouds","unsettled",4,0.04,100
"bulk",7,"200-500","Crops","break_endpoint",2370,23.7,11.6
"bulk",7,"200-500","Crops","break_sustained",8250,82.5,40.39
"bulk",7,"200-500","Crops","stable",2199,21.99,10.77
"bulk",7,"200-500","Crops","stable_flicker",3890,38.9,19.05
"bulk",7,"200-500","Crops","unsettled",3715,37.15,18.19
"bulk",7,"200-500","Flooded Vegetation","break_endpoint",138,1.38,7.82
"bulk",7,"200-500","Flooded Vegetation","break_sustained",3,0.03,0.17
"bulk",7,"200-500","Flooded Vegetation","stable",288,2.88,16.32
"bulk",7,"200-500","Flooded Vegetation","stable_flicker",740,7.4,41.93
"bulk",7,"200-500","Flooded Vegetation","unsettled",596,5.96,33.77
"bulk",7,"200-500","Rangeland","break_endpoint",8078,80.78,7.95
"bulk",7,"200-500","Rangeland","break_sustained",3032,30.32,2.98
"bulk",7,"200-500","Rangeland","stable",58076,580.76,57.13
"bulk",7,"200-500","Rangeland","stable_flicker",22701,227.01,22.33
"bulk",7,"200-500","Rangeland","unsettled",9771,97.71,9.61
"bulk",7,"200-500","Snow/Ice","break_endpoint",76,0.76,12.88
"bulk",7,"200-500","Snow/Ice","unsettled",514,5.14,87.12
"bulk",7,"200-500","Trees","break_endpoint",8199,81.99,2.74
"bulk",7,"200-500","Trees","break_sustained",3774,37.74,1.26
"bulk",7,"200-500","Trees","stable",258781,2587.81,86.57
"bulk",7,"200-500","Trees","stable_flicker",16938,169.38,5.67
"bulk",7,"200-500","Trees","unsettled",11219,112.19,3.75
"bulk",7,"200-500","Water","break_endpoint",88,0.88,10.8
"bulk",7,"200-500","Water","break_sustained",186,1.86,22.82
"bulk",7,"200-500","Water","stable_flicker",202,2.02,24.79
"bulk",7,"200-500","Water","unsettled",339,3.39,41.6
"bulk",8,">500","Bare Ground","break_endpoint",5753,57.53,45.92
"bulk",8,">500","Bare Ground","break_sustained",2,0.02,0.02
"bulk",8,">500","Bare Ground","stable",3,0.03,0.02
"bulk",8,">500","Bare Ground","stable_flicker",178,1.78,1.42
"bulk",8,">500","Bare Ground","unsettled",6592,65.92,52.62
"bulk",8,">500","Built Area","break_endpoint",629,6.29,1.96
"bulk",8,">500","Built Area","break_sustained",256,2.56,0.8
"bulk",8,">500","Built Area","stable",26625,266.25,83.12
"bulk",8,">500","Built Area","stable_flicker",2858,28.58,8.92
"bulk",8,">500","Built Area","unsettled",1664,16.64,5.19
"bulk",8,">500","Clouds","break_endpoint",64,0.64,51.2
"bulk",8,">500","Clouds","unsettled",61,0.61,48.8
"bulk",8,">500","Crops","break_endpoint",5924,59.24,17.83
"bulk",8,">500","Crops","break_sustained",8447,84.47,25.42
"bulk",8,">500","Crops","stable",5173,51.73,15.57
"bulk",8,">500","Crops","stable_flicker",7307,73.07,21.99
"bulk",8,">500","Crops","unsettled",6383,63.83,19.21
"bulk",8,">500","Flooded Vegetation","break_endpoint",230,2.3,1.26
"bulk",8,">500","Flooded Vegetation","break_sustained",78,0.78,0.43
"bulk",8,">500","Flooded Vegetation","stable",12284,122.84,67.38
"bulk",8,">500","Flooded Vegetation","stable_flicker",3314,33.14,18.18
"bulk",8,">500","Flooded Vegetation","unsettled",2324,23.24,12.75
"bulk",8,">500","Rangeland","break_endpoint",30914,309.14,6.25
"bulk",8,">500","Rangeland","break_sustained",16799,167.99,3.4
"bulk",8,">500","Rangeland","stable",315703,3157.03,63.82
"bulk",8,">500","Rangeland","stable_flicker",88616,886.16,17.91
"bulk",8,">500","Rangeland","unsettled",42681,426.81,8.63
"bulk",8,">500","Snow/Ice","break_endpoint",326,3.26,12.73
"bulk",8,">500","Snow/Ice","stable_flicker",4,0.04,0.16
"bulk",8,">500","Snow/Ice","unsettled",2231,22.31,87.11
"bulk",8,">500","Trees","break_endpoint",49755,497.55,2.62
"bulk",8,">500","Trees","break_sustained",30487,304.87,1.6
"bulk",8,">500","Trees","stable",1676369,16763.69,88.14
"bulk",8,">500","Trees","stable_flicker",93016,930.16,4.89
"bulk",8,">500","Trees","unsettled",52362,523.62,2.75
"bulk",8,">500","Water","break_endpoint",76,0.76,17.35
"bulk",8,">500","Water","break_sustained",86,0.86,19.63
"bulk",8,">500","Water","stable_flicker",124,1.24,28.31
"bulk",8,">500","Water","unsettled",152,1.52,34.7
