"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"kotl","water_core",6,"100-200","Flooded Vegetation","stable_flicker",4101,41.01,21.1
"kotl","water_core",6,"100-200","Flooded Vegetation","unsettled",4645,46.45,23.89
"kotl","water_core",6,"100-200","Rangeland","break_endpoint",3887,38.87,6.68
"kotl","water_core",6,"100-200","Rangeland","break_sustained",2733,27.33,4.69
"kotl","water_core",6,"100-200","Rangeland","stable",35816,358.16,61.52
"kotl","water_core",6,"100-200","Rangeland","stable_flicker",9608,96.08,16.5
"kotl","water_core",6,"100-200","Rangeland","unsettled",6174,61.74,10.6
"kotl","water_core",6,"100-200","Snow/Ice","stable",3,0.03,100
"kotl","water_core",6,"100-200","Trees","break_endpoint",3066,30.66,3.73
"kotl","water_core",6,"100-200","Trees","break_sustained",1748,17.48,2.13
"kotl","water_core",6,"100-200","Trees","stable",65953,659.53,80.22
"kotl","water_core",6,"100-200","Trees","stable_flicker",7760,77.6,9.44
"kotl","water_core",6,"100-200","Trees","unsettled",3690,36.9,4.49
"kotl","water_core",6,"100-200","Water","break_endpoint",1073,10.73,14.56
"kotl","water_core",6,"100-200","Water","break_sustained",2273,22.73,30.83
"kotl","water_core",6,"100-200","Water","stable_flicker",1657,16.57,22.48
"kotl","water_core",6,"100-200","Water","unsettled",2369,23.69,32.14
"kotl","water_core",7,"200-500","Bare Ground","break_endpoint",1163,11.63,59.89
"kotl","water_core",7,"200-500","Bare Ground","break_sustained",111,1.11,5.72
"kotl","water_core",7,"200-500","Bare Ground","stable",227,2.27,11.69
"kotl","water_core",7,"200-500","Bare Ground","unsettled",441,4.41,22.71
"kotl","water_core",7,"200-500","Built Area","break_endpoint",522,5.22,1.71
"kotl","water_core",7,"200-500","Built Area","break_sustained",361,3.61,1.18
"kotl","water_core",7,"200-500","Built Area","stable",26414,264.14,86.44
"kotl","water_core",7,"200-500","Built Area","stable_flicker",2464,24.64,8.06
"kotl","water_core",7,"200-500","Built Area","unsettled",796,7.96,2.6
"kotl","water_core",7,"200-500","Crops","break_endpoint",3173,31.73,1.69
"kotl","water_core",7,"200-500","Crops","break_sustained",1693,16.93,0.9
"kotl","water_core",7,"200-500","Crops","stable",160534,1605.34,85.27
"kotl","water_core",7,"200-500","Crops","stable_flicker",17399,173.99,9.24
"kotl","water_core",7,"200-500","Crops","unsettled",5467,54.67,2.9
"kotl","water_core",7,"200-500","Flooded Vegetation","break_endpoint",7809,78.09,11.8
"kotl","water_core",7,"200-500","Flooded Vegetation","break_sustained",11788,117.88,17.81
"kotl","water_core",7,"200-500","Flooded Vegetation","stable",23956,239.56,36.2
"kotl","water_core",7,"200-500","Flooded Vegetation","stable_flicker",10367,103.67,15.66
"kotl","water_core",7,"200-500","Flooded Vegetation","unsettled",12260,122.6,18.53
"kotl","water_core",7,"200-500","Rangeland","break_endpoint",5836,58.36,6.12
"kotl","water_core",7,"200-500","Rangeland","break_sustained",3350,33.5,3.52
"kotl","water_core",7,"200-500","Rangeland","stable",60733,607.33,63.73
"kotl","water_core",7,"200-500","Rangeland","stable_flicker",17615,176.15,18.49
"kotl","water_core",7,"200-500","Rangeland","unsettled",7758,77.58,8.14
"kotl","water_core",7,"200-500","Trees","break_endpoint",4161,41.61,3.57
"kotl","water_core",7,"200-500","Trees","break_sustained",4184,41.84,3.59
"kotl","water_core",7,"200-500","Trees","stable",97593,975.93,83.83
"kotl","water_core",7,"200-500","Trees","stable_flicker",7119,71.19,6.11
"kotl","water_core",7,"200-500","Trees","unsettled",3365,33.65,2.89
"kotl","water_core",7,"200-500","Water","break_endpoint",761,7.61,16.71
"kotl","water_core",7,"200-500","Water","break_sustained",1704,17.04,37.42
"kotl","water_core",7,"200-500","Water","stable_flicker",387,3.87,8.5
"kotl","water_core",7,"200-500","Water","unsettled",1702,17.02,37.37
"kotl","water_core",8,">500","Bare Ground","break_endpoint",416,4.16,26.53
"kotl","water_core",8,">500","Bare Ground","break_sustained",121,1.21,7.72
"kotl","water_core",8,">500","Bare Ground","stable",393,3.93,25.06
"kotl","water_core",8,">500","Bare Ground","stable_flicker",44,0.44,2.81
"kotl","water_core",8,">500","Bare Ground","unsettled",594,5.94,37.88
"kotl","water_core",8,">500","Built Area","break_endpoint",1237,12.37,3.71
