"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"necr","water_2017",2,"0-10",0,10,"stable_flicker",12112,121.12,44145,27.44
"necr","water_2017",2,"0-10",0,10,"unsettled",12991,129.91,44145,29.43
"necr","water_2017",3,"10-30",10,30,"break_endpoint",5511,55.11,74910,7.36
"necr","water_2017",3,"10-30",10,30,"break_sustained",2412,24.12,74910,3.22
"necr","water_2017",3,"10-30",10,30,"stable",45147,451.47,74910,60.27
"necr","water_2017",3,"10-30",10,30,"stable_flicker",11395,113.95,74910,15.21
"necr","water_2017",3,"10-30",10,30,"unsettled",10445,104.45,74910,13.94
"necr","water_2017",4,"30-50",30,50,"break_endpoint",2957,29.57,61582,4.8
"necr","water_2017",4,"30-50",30,50,"break_sustained",2046,20.46,61582,3.32
"necr","water_2017",4,"30-50",30,50,"stable",41645,416.45,61582,67.63
"necr","water_2017",4,"30-50",30,50,"stable_flicker",8439,84.39,61582,13.7
"necr","water_2017",4,"30-50",30,50,"unsettled",6495,64.95,61582,10.55
"necr","water_2017",5,"50-100",50,100,"break_endpoint",4963,49.63,113880,4.36
"necr","water_2017",5,"50-100",50,100,"break_sustained",4426,44.26,113880,3.89
"necr","water_2017",5,"50-100",50,100,"stable",78404,784.04,113880,68.85
"necr","water_2017",5,"50-100",50,100,"stable_flicker",15951,159.51,113880,14.01
"necr","water_2017",5,"50-100",50,100,"unsettled",10136,101.36,113880,8.9
"necr","water_2017",6,"100-200",100,200,"break_endpoint",7399,73.99,165978,4.46
"necr","water_2017",6,"100-200",100,200,"break_sustained",9134,91.34,165978,5.5
"necr","water_2017",6,"100-200",100,200,"stable",115461,1154.61,165978,69.56
"necr","water_2017",6,"100-200",100,200,"stable_flicker",21548,215.48,165978,12.98
"necr","water_2017",6,"100-200",100,200,"unsettled",12436,124.36,165978,7.49
"necr","water_2017",7,"200-500",200,500,"break_endpoint",16053,160.53,333813,4.81
"necr","water_2017",7,"200-500",200,500,"break_sustained",20870,208.7,333813,6.25
"necr","water_2017",7,"200-500",200,500,"stable",232811,2328.11,333813,69.74
"necr","water_2017",7,"200-500",200,500,"stable_flicker",41775,417.75,333813,12.51
