"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"bulk","water_core",7,"200-500","Flooded Vegetation","break_sustained",3,0.03,0.17
"bulk","water_core",7,"200-500","Flooded Vegetation","stable",288,2.88,16.32
"bulk","water_core",7,"200-500","Flooded Vegetation","stable_flicker",740,7.4,41.93
"bulk","water_core",7,"200-500","Flooded Vegetation","unsettled",596,5.96,33.77
"bulk","water_core",7,"200-500","Rangeland","break_endpoint",8078,80.78,7.95
"bulk","water_core",7,"200-500","Rangeland","break_sustained",3032,30.32,2.98
"bulk","water_core",7,"200-500","Rangeland","stable",58076,580.76,57.13
"bulk","water_core",7,"200-500","Rangeland","stable_flicker",22701,227.01,22.33
"bulk","water_core",7,"200-500","Rangeland","unsettled",9771,97.71,9.61
"bulk","water_core",7,"200-500","Snow/Ice","break_endpoint",76,0.76,12.88
"bulk","water_core",7,"200-500","Snow/Ice","unsettled",514,5.14,87.12
"bulk","water_core",7,"200-500","Trees","break_endpoint",8199,81.99,2.74
"bulk","water_core",7,"200-500","Trees","break_sustained",3774,37.74,1.26
"bulk","water_core",7,"200-500","Trees","stable",258781,2587.81,86.57
"bulk","water_core",7,"200-500","Trees","stable_flicker",16938,169.38,5.67
"bulk","water_core",7,"200-500","Trees","unsettled",11219,112.19,3.75
"bulk","water_core",7,"200-500","Water","break_endpoint",88,0.88,10.8
"bulk","water_core",7,"200-500","Water","break_sustained",186,1.86,22.82
"bulk","water_core",7,"200-500","Water","stable_flicker",202,2.02,24.79
"bulk","water_core",7,"200-500","Water","unsettled",339,3.39,41.6
"bulk","water_core",8,">500","Bare Ground","break_endpoint",5753,57.53,45.92
"bulk","water_core",8,">500","Bare Ground","break_sustained",2,0.02,0.02
"bulk","water_core",8,">500","Bare Ground","stable",3,0.03,0.02
"bulk","water_core",8,">500","Bare Ground","stable_flicker",178,1.78,1.42
"bulk","water_core",8,">500","Bare Ground","unsettled",6592,65.92,52.62
"bulk","water_core",8,">500","Built Area","break_endpoint",629,6.29,1.96
"bulk","water_core",8,">500","Built Area","break_sustained",256,2.56,0.8
"bulk","water_core",8,">500","Built Area","stable",26625,266.25,83.12
"bulk","water_core",8,">500","Built Area","stable_flicker",2858,28.58,8.92
"bulk","water_core",8,">500","Built Area","unsettled",1664,16.64,5.19
"bulk","water_core",8,">500","Clouds","break_endpoint",64,0.64,51.2
"bulk","water_core",8,">500","Clouds","unsettled",61,0.61,48.8
"bulk","water_core",8,">500","Crops","break_endpoint",5924,59.24,17.83
"bulk","water_core",8,">500","Crops","break_sustained",8447,84.47,25.42
"bulk","water_core",8,">500","Crops","stable",5173,51.73,15.57
"bulk","water_core",8,">500","Crops","stable_flicker",7307,73.07,21.99
"bulk","water_core",8,">500","Crops","unsettled",6383,63.83,19.21
"bulk","water_core",8,">500","Flooded Vegetation","break_endpoint",230,2.3,1.26
"bulk","water_core",8,">500","Flooded Vegetation","break_sustained",78,0.78,0.43
"bulk","water_core",8,">500","Flooded Vegetation","stable",12284,122.84,67.38
"bulk","water_core",8,">500","Flooded Vegetation","stable_flicker",3314,33.14,18.18
"bulk","water_core",8,">500","Flooded Vegetation","unsettled",2324,23.24,12.75
"bulk","water_core",8,">500","Rangeland","break_endpoint",30914,309.14,6.25
"bulk","water_core",8,">500","Rangeland","break_sustained",16799,167.99,3.4
"bulk","water_core",8,">500","Rangeland","stable",315703,3157.03,63.82
"bulk","water_core",8,">500","Rangeland","stable_flicker",88616,886.16,17.91
"bulk","water_core",8,">500","Rangeland","unsettled",42681,426.81,8.63
"bulk","water_core",8,">500","Snow/Ice","break_endpoint",326,3.26,12.73
"bulk","water_core",8,">500","Snow/Ice","stable_flicker",4,0.04,0.16
"bulk","water_core",8,">500","Snow/Ice","unsettled",2231,22.31,87.11
"bulk","water_core",8,">500","Trees","break_endpoint",49755,497.55,2.62
"bulk","water_core",8,">500","Trees","break_sustained",30487,304.87,1.6
"bulk","water_core",8,">500","Trees","stable",1676369,16763.69,88.14
"bulk","water_core",8,">500","Trees","stable_flicker",93016,930.16,4.89
"bulk","water_core",8,">500","Trees","unsettled",52362,523.62,2.75
"bulk","water_core",8,">500","Water","break_endpoint",76,0.76,17.35
"bulk","water_core",8,">500","Water","break_sustained",86,0.86,19.63
"bulk","water_core",8,">500","Water","stable_flicker",124,1.24,28.31
"bulk","water_core",8,">500","Water","unsettled",152,1.52,34.7
"necr","water_core",1,"core","Water","stable",1059042,10590.42,100
"necr","water_core",2,"0-10","Bare Ground","break_endpoint",2003,20.03,61.35
"necr","water_core",2,"0-10","Bare Ground","break_sustained",3,0.03,0.09
"necr","water_core",2,"0-10","Bare Ground","unsettled",1259,12.59,38.56
"necr","water_core",2,"0-10","Built Area","break_endpoint",26,0.26,6.95
"necr","water_core",2,"0-10","Built Area","break_sustained",42,0.42,11.23
"necr","water_core",2,"0-10","Built Area","stable",71,0.71,18.98
"necr","water_core",2,"0-10","Built Area","stable_flicker",116,1.16,31.02
"necr","water_core",2,"0-10","Built Area","unsettled",119,1.19,31.82
"necr","water_core",2,"0-10","Crops","break_endpoint",339,3.39,36.03
"necr","water_core",2,"0-10","Crops","break_sustained",54,0.54,5.74
"necr","water_core",2,"0-10","Crops","stable",2,0.02,0.21
"necr","water_core",2,"0-10","Crops","stable_flicker",102,1.02,10.84
"necr","water_core",2,"0-10","Crops","unsettled",444,4.44,47.18
"necr","water_core",2,"0-10","Flooded Vegetation","break_endpoint",416,4.16,51.74
"necr","water_core",2,"0-10","Flooded Vegetation","break_sustained",14,0.14,1.74
"necr","water_core",2,"0-10","Flooded Vegetation","stable",1,0.01,0.12
"necr","water_core",2,"0-10","Flooded Vegetation","stable_flicker",14,0.14,1.74
"necr","water_core",2,"0-10","Flooded Vegetation","unsettled",359,3.59,44.65
"necr","water_core",2,"0-10","Rangeland","break_endpoint",581,5.81,19.26
"necr","water_core",2,"0-10","Rangeland","break_sustained",253,2.53,8.39
"necr","water_core",2,"0-10","Rangeland","stable",70,0.7,2.32
"necr","water_core",2,"0-10","Rangeland","stable_flicker",480,4.8,15.92
"necr","water_core",2,"0-10","Rangeland","unsettled",1632,16.32,54.11
"necr","water_core",2,"0-10","Snow/Ice","break_endpoint",56,0.56,23.83
"necr","water_core",2,"0-10","Snow/Ice","unsettled",179,1.79,76.17
"necr","water_core",2,"0-10","Trees","break_endpoint",2582,25.82,16.83
"necr","water_core",2,"0-10","Trees","break_sustained",1626,16.26,10.6
"necr","water_core",2,"0-10","Trees","stable",1971,19.71,12.84
"necr","water_core",2,"0-10","Trees","stable_flicker",4357,43.57,28.39
"necr","water_core",2,"0-10","Trees","unsettled",4809,48.09,31.34
"necr","water_core",2,"0-10","Water","break_endpoint",4914,49.14,22.52
"necr","water_core",2,"0-10","Water","break_sustained",3519,35.19,16.13
"necr","water_core",2,"0-10","Water","stable_flicker",10442,104.42,47.86
"necr","water_core",2,"0-10","Water","unsettled",2944,29.44,13.49
"necr","water_core",3,"10-30","Bare Ground","break_endpoint",992,9.92,31.59
"necr","water_core",3,"10-30","Bare Ground","break_sustained",38,0.38,1.21
"necr","water_core",3,"10-30","Bare Ground","unsettled",2110,21.1,67.2
"necr","water_core",3,"10-30","Built Area","break_endpoint",28,0.28,1.31
"necr","water_core",3,"10-30","Built Area","break_sustained",10,0.1,0.47
"necr","water_core",3,"10-30","Built Area","stable",1734,17.34,80.99
"necr","water_core",3,"10-30","Built Area","stable_flicker",303,3.03,14.15
"necr","water_core",3,"10-30","Built Area","unsettled",66,0.66,3.08
"necr","water_core",3,"10-30","Crops","break_endpoint",354,3.54,16.03
"necr","water_core",3,"10-30","Crops","break_sustained",221,2.21,10.01
"necr","water_core",3,"10-30","Crops","stable",178,1.78,8.06
"necr","water_core",3,"10-30","Crops","stable_flicker",713,7.13,32.29
"necr","water_core",3,"10-30","Crops","unsettled",742,7.42,33.61
"necr","water_core",3,"10-30","Flooded Vegetation","break_endpoint",443,4.43,25.53
"necr","water_core",3,"10-30","Flooded Vegetation","break_sustained",80,0.8,4.61
"necr","water_core",3,"10-30","Flooded Vegetation","stable",123,1.23,7.09
"necr","water_core",3,"10-30","Flooded Vegetation","stable_flicker",101,1.01,5.82
