"x","y","valid_ha","stable_ha","sustained_ha","endpoint_ha","unsettled_ha","stable_flicker_ha"
606322.648224166,6113890.06916606,1.6,1.6,0,0,0,0
607322.648224166,6113890.06916606,0.44,0.44,0,0,0,0
614322.648224166,6113890.06916606,1.16,0.01,0,0,0,1.15
615322.648224166,6113890.06916606,7.22,7.16,0,0,0,0.06
616322.648224166,6113890.06916606,11.72,11.19,0.07,0,0.23,0.23
617322.648224166,6113890.06916606,1.26,0.99,0.04,0,0.18,0.05
626322.648224166,6113890.06916606,15.87,15.84,0,0.03,0,0
627322.648224166,6113890.06916606,31.82,26.97,2.11,0.36,0.93,1.45
628322.648224166,6113890.06916606,49.7,39.33,0.45,2.55,3.12,4.25
629322.648224166,6113890.06916606,19.68,13.26,0,0.54,0.71,5.17
635322.648224166,6113890.06916606,9.96,4.33,4.48,0.01,0.36,0.78
636322.648224166,6113890.06916606,18.62,13.73,4.53,0,0,0.36
637322.648224166,6113890.06916606,30.46,30.42,0,0.01,0.03,0
639322.648224166,6113890.06916606,8.07,8.07,0,0,0,0
640322.648224166,6113890.06916606,9.01,9.01,0,0,0,0
593322.648224166,6112890.06916606,1.41,1.41,0,0,0,0
594322.648224166,6112890.06916606,0.64,0.64,0,0,0,0
595322.648224166,6112890.06916606,4.09,3.33,0,0.76,0,0
596322.648224166,6112890.06916606,0.63,0.62,0,0.01,0,0
597322.648224166,6112890.06916606,0.96,0.96,0,0,0,0
598322.648224166,6112890.06916606,1.48,1.48,0,0,0,0
602322.648224166,6112890.06916606,22.53,22.5,0,0,0,0.03
603322.648224166,6112890.06916606,15.56,13.89,0.26,0.29,0.32,0.8
604322.648224166,6112890.06916606,22.03,22.03,0,0,0,0
605322.648224166,6112890.06916606,31.04,31.04,0,0,0,0
606322.648224166,6112890.06916606,0.73,0.73,0,0,0,0
614322.648224166,6112890.06916606,0.87,0.87,0,0,0,0
616322.648224166,6112890.06916606,6.51,6.17,0,0,0.01,0.33
617322.648224166,6112890.06916606,11.61,11.31,0.03,0,0.12,0.15
627322.648224166,6112890.06916606,2.88,1.76,0.03,1.08,0,0.01
628322.648224166,6112890.06916606,30.23,22.57,0.25,0.55,0.62,6.24
629322.648224166,6112890.06916606,49.37,25.32,0.18,1.91,5.54,16.42
630322.648224166,6112890.06916606,33.81,31.07,0,0.03,0.45,2.26
635322.648224166,6112890.06916606,2.7,1.22,1.13,0,0.1,0.25
636322.648224166,6112890.06916606,28.79,26.53,0.69,0.64,0.27,0.66
637322.648224166,6112890.06916606,15.13,15,0,0.1,0.01,0.02
638322.648224166,6112890.06916606,20.46,20.46,0,0,0,0
639322.648224166,6112890.06916606,8.82,8.82,0,0,0,0
640322.648224166,6112890.06916606,6.37,6.37,0,0,0,0
599322.648224166,6111890.06916606,1.49,1.49,0,0,0,0
600322.648224166,6111890.06916606,0.65,0.65,0,0,0,0
601322.648224166,6111890.06916606,1.58,1.58,0,0,0,0
602322.648224166,6111890.06916606,15.49,15.49,0,0,0,0
603322.648224166,6111890.06916606,22.76,21.38,0.07,0.28,0.19,0.84
604322.648224166,6111890.06916606,0.89,0.89,0,0,0,0
605322.648224166,6111890.06916606,31.73,31.73,0,0,0,0
606322.648224166,6111890.06916606,4.16,4.16,0,0,0,0
612322.648224166,6111890.06916606,0.2,0.2,0,0,0,0
613322.648224166,6111890.06916606,2.82,2.82,0,0,0,0
614322.648224166,6111890.06916606,4,3.36,0,0,0.47,0.17
615322.648224166,6111890.06916606,10.74,10.61,0,0,0,0.13
617322.648224166,6111890.06916606,11.66,11.66,0,0,0,0
627322.648224166,6111890.06916606,3.07,3.07,0,0,0,0
628322.648224166,6111890.06916606,27.65,27.51,0.03,0.06,0.03,0.02
629322.648224166,6111890.06916606,20.78,20.58,0.04,0.01,0.11,0.04
