"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","pct_of_band"
"kotl","water_core",3,"10-30",10,30,"stable_flicker",15918,159.18,19.26
"kotl","water_core",3,"10-30",10,30,"unsettled",14224,142.24,17.21
"kotl","water_core",4,"30-50",30,50,"break_endpoint",4653,46.53,6.5
"kotl","water_core",4,"30-50",30,50,"break_sustained",2671,26.71,3.73
"kotl","water_core",4,"30-50",30,50,"stable",44631,446.31,62.37
"kotl","water_core",4,"30-50",30,50,"stable_flicker",11653,116.53,16.28
"kotl","water_core",4,"30-50",30,50,"unsettled",7951,79.51,11.11
"kotl","water_core",5,"50-100",50,100,"break_endpoint",8413,84.13,5.76
"kotl","water_core",5,"50-100",50,100,"break_sustained",6266,62.66,4.29
"kotl","water_core",5,"50-100",50,100,"stable",96388,963.88,66.01
"kotl","water_core",5,"50-100",50,100,"stable_flicker",20986,209.86,14.37
"kotl","water_core",5,"50-100",50,100,"unsettled",13966,139.66,9.56
"kotl","water_core",6,"100-200",100,200,"break_endpoint",13980,139.8,5.73
"kotl","water_core",6,"100-200",100,200,"break_sustained",12040,120.4,4.93
"kotl","water_core",6,"100-200",100,200,"stable",164992,1649.92,67.59
"kotl","water_core",6,"100-200",100,200,"stable_flicker",32615,326.15,13.36
"kotl","water_core",6,"100-200",100,200,"unsettled",20488,204.88,8.39
"kotl","water_core",7,"200-500",200,500,"break_endpoint",23425,234.25,4.66
"kotl","water_core",7,"200-500",200,500,"break_sustained",23191,231.91,4.61
"kotl","water_core",7,"200-500",200,500,"stable",369457,3694.57,73.42
"kotl","water_core",7,"200-500",200,500,"stable_flicker",55351,553.51,11
"kotl","water_core",7,"200-500",200,500,"unsettled",31789,317.89,6.32
"kotl","water_core",8,">500",500,Inf,"break_endpoint",38709,387.09,3.24
"kotl","water_core",8,">500",500,Inf,"break_sustained",35133,351.33,2.94
"kotl","water_core",8,">500",500,Inf,"stable",998242,9982.42,83.67
"kotl","water_core",8,">500",500,Inf,"stable_flicker",71021,710.21,5.95
"kotl","water_core",8,">500",500,Inf,"unsettled",50024,500.24,4.19
"kotl","water_2017",1,"core",0,0,"break_endpoint",15627,156.27,0.33
"kotl","water_2017",1,"core",0,0,"break_sustained",10352,103.52,0.22
"kotl","water_2017",1,"core",0,0,"stable",4648014,46480.14,98.66
"kotl","water_2017",1,"core",0,0,"stable_flicker",23678,236.78,0.5
"kotl","water_2017",1,"core",0,0,"unsettled",13700,137,0.29
"kotl","water_2017",2,"0-10",0,10,"break_endpoint",8851,88.51,18.52
"kotl","water_2017",2,"0-10",0,10,"break_sustained",3009,30.09,6.3
"kotl","water_2017",2,"0-10",0,10,"stable",10551,105.51,22.08
"kotl","water_2017",2,"0-10",0,10,"stable_flicker",11126,111.26,23.28
"kotl","water_2017",2,"0-10",0,10,"unsettled",14257,142.57,29.83
"kotl","water_2017",3,"10-30",10,30,"break_endpoint",8707,87.07,10.31
"kotl","water_2017",3,"10-30",10,30,"break_sustained",2308,23.08,2.73
"kotl","water_2017",3,"10-30",10,30,"stable",48099,480.99,56.98
"kotl","water_2017",3,"10-30",10,30,"stable_flicker",13446,134.46,15.93
"kotl","water_2017",3,"10-30",10,30,"unsettled",11861,118.61,14.05
"kotl","water_2017",4,"30-50",30,50,"break_endpoint",4634,46.34,6.14
"kotl","water_2017",4,"30-50",30,50,"break_sustained",2315,23.15,3.07
"kotl","water_2017",4,"30-50",30,50,"stable",49642,496.42,65.82
"kotl","water_2017",4,"30-50",30,50,"stable_flicker",11208,112.08,14.86
"kotl","water_2017",4,"30-50",30,50,"unsettled",7626,76.26,10.11
"kotl","water_2017",5,"50-100",50,100,"break_endpoint",9025,90.25,5.77
"kotl","water_2017",5,"50-100",50,100,"break_sustained",5479,54.79,3.5
"kotl","water_2017",5,"50-100",50,100,"stable",106757,1067.57,68.21
"kotl","water_2017",5,"50-100",50,100,"stable_flicker",21910,219.1,14
"kotl","water_2017",5,"50-100",50,100,"unsettled",13344,133.44,8.53
"kotl","water_2017",6,"100-200",100,200,"break_endpoint",14001,140.01,5.35
"kotl","water_2017",6,"100-200",100,200,"break_sustained",11560,115.6,4.42
"kotl","water_2017",6,"100-200",100,200,"stable",183783,1837.83,70.27
"kotl","water_2017",6,"100-200",100,200,"stable_flicker",32649,326.49,12.48
"kotl","water_2017",6,"100-200",100,200,"unsettled",19539,195.39,7.47
"kotl","water_2017",7,"200-500",200,500,"break_endpoint",26671,266.71,4.86
"kotl","water_2017",7,"200-500",200,500,"break_sustained",23187,231.87,4.22
"kotl","water_2017",7,"200-500",200,500,"stable",404258,4042.58,73.65
"kotl","water_2017",7,"200-500",200,500,"stable_flicker",59475,594.75,10.84
"kotl","water_2017",7,"200-500",200,500,"unsettled",35321,353.21,6.43
"kotl","water_2017",8,">500",500,Inf,"break_endpoint",29483,294.83,2.8
"kotl","water_2017",8,">500",500,Inf,"break_sustained",29010,290.1,2.76
"kotl","water_2017",8,">500",500,Inf,"stable",909332,9093.32,86.46
"kotl","water_2017",8,">500",500,Inf,"stable_flicker",50056,500.56,4.76
"kotl","water_2017",8,">500",500,Inf,"unsettled",33909,339.09,3.22
"kotl","edge_nonwater",1,"core",0,0,"break_endpoint",24313,243.13,16.43
"kotl","edge_nonwater",1,"core",0,0,"break_sustained",12071,120.71,8.16
"kotl","edge_nonwater",1,"core",0,0,"stable",42575,425.75,28.78
"kotl","edge_nonwater",1,"core",0,0,"stable_flicker",35651,356.51,24.1
"kotl","edge_nonwater",1,"core",0,0,"unsettled",33332,333.32,22.53
"kotl","edge_nonwater",2,"0-10",0,10,"break_endpoint",12148,121.48,12.15
"kotl","edge_nonwater",2,"0-10",0,10,"break_sustained",6471,64.71,6.47
"kotl","edge_nonwater",2,"0-10",0,10,"stable",44266,442.66,44.26
"kotl","edge_nonwater",2,"0-10",0,10,"stable_flicker",19128,191.28,19.12
"kotl","edge_nonwater",2,"0-10",0,10,"unsettled",18004,180.04,18
"kotl","edge_nonwater",3,"10-30",10,30,"break_endpoint",16945,169.45,8.88
"kotl","edge_nonwater",3,"10-30",10,30,"break_sustained",10125,101.25,5.31
"kotl","edge_nonwater",3,"10-30",10,30,"stable",108440,1084.4,56.84
"kotl","edge_nonwater",3,"10-30",10,30,"stable_flicker",29897,298.97,15.67
"kotl","edge_nonwater",3,"10-30",10,30,"unsettled",25363,253.63,13.3
"kotl","edge_nonwater",4,"30-50",30,50,"break_endpoint",11325,113.25,6.28
"kotl","edge_nonwater",4,"30-50",30,50,"break_sustained",7921,79.21,4.39
"kotl","edge_nonwater",4,"30-50",30,50,"stable",124670,1246.7,69.14
"kotl","edge_nonwater",4,"30-50",30,50,"stable_flicker",21307,213.07,11.82
"kotl","edge_nonwater",4,"30-50",30,50,"unsettled",15090,150.9,8.37
"kotl","edge_nonwater",5,"50-100",50,100,"break_endpoint",16015,160.15,4.39
"kotl","edge_nonwater",5,"50-100",50,100,"break_sustained",13481,134.81,3.69
"kotl","edge_nonwater",5,"50-100",50,100,"stable",284250,2842.5,77.86
"kotl","edge_nonwater",5,"50-100",50,100,"stable_flicker",32279,322.79,8.84
"kotl","edge_nonwater",5,"50-100",50,100,"unsettled",19062,190.62,5.22
"kotl","edge_nonwater",6,"100-200",100,200,"break_endpoint",14546,145.46,2.65
"kotl","edge_nonwater",6,"100-200",100,200,"break_sustained",16958,169.58,3.09
"kotl","edge_nonwater",6,"100-200",100,200,"stable",463537,4635.37,84.55
"kotl","edge_nonwater",6,"100-200",100,200,"stable_flicker",34157,341.57,6.23
"kotl","edge_nonwater",6,"100-200",100,200,"unsettled",19033,190.33,3.47
"kotl","edge_nonwater",7,"200-500",200,500,"break_endpoint",14953,149.53,1.42
"kotl","edge_nonwater",7,"200-500",200,500,"break_sustained",16139,161.39,1.54
"kotl","edge_nonwater",7,"200-500",200,500,"stable",962909,9629.09,91.68
"kotl","edge_nonwater",7,"200-500",200,500,"stable_flicker",39699,396.99,3.78
"kotl","edge_nonwater",7,"200-500",200,500,"unsettled",16544,165.44,1.58
"kotl","edge_nonwater",8,">500",500,Inf,"break_endpoint",6754,67.54,0.16
"kotl","edge_nonwater",8,">500",500,Inf,"break_sustained",4054,40.54,0.09
"kotl","edge_nonwater",8,">500",500,Inf,"stable",4329789,43297.89,99.42
"kotl","edge_nonwater",8,">500",500,Inf,"stable_flicker",11430,114.3,0.26
"kotl","edge_nonwater",8,">500",500,Inf,"unsettled",3129,31.29,0.07
