"group","from_class","to_class","changed","category","n_cells","area_ha","pct_of_pair"
"kotl","Crops","Built Area",TRUE,"flicker",1221,12.21,28.9954880075991
"kotl","Crops","Crops",FALSE,"flicker",47966,479.66,8.35733414178162
"kotl","Crops","Crops",FALSE,"stable",525973,5259.73,91.6426658582184
"kotl","Crops","Flooded Vegetation",TRUE,"break_endpoint",957,9.57,43.858845096242
"kotl","Crops","Flooded Vegetation",TRUE,"break_sustained",21,0.21,0.962419798350137
"kotl","Crops","Flooded Vegetation",TRUE,"flicker",1204,12.04,55.1787351054079
"kotl","Crops","Rangeland",TRUE,"break_endpoint",8722,87.22,32.9355788837701
"kotl","Crops","Rangeland",TRUE,"break_sustained",3627,36.27,13.6960954610679
"kotl","Crops","Rangeland",TRUE,"flicker",14133,141.33,53.368325655162
"kotl","Crops","Trees",TRUE,"break_endpoint",703,7.03,30.7389593353739
"kotl","Crops","Trees",TRUE,"break_sustained",417,4.17,18.2334936598164
"kotl","Crops","Trees",TRUE,"flicker",1167,11.67,51.0275470048098
"kotl","Crops","Water",TRUE,"break_endpoint",763,7.63,26.5761058864507
"kotl","Crops","Water",TRUE,"break_sustained",463,4.63,16.1267850923023
"kotl","Crops","Water",TRUE,"flicker",1645,16.45,57.297109021247
"kotl","Flooded Vegetation","Bare Ground",TRUE,"flicker",9,0.09,100
"kotl","Flooded Vegetation","Built Area",TRUE,"break_endpoint",7,0.07,4.9645390070922
"kotl","Flooded Vegetation","Built Area",TRUE,"break_sustained",2,0.02,1.41843971631206
"kotl","Flooded Vegetation","Built Area",TRUE,"flicker",132,1.32,93.6170212765958
"kotl","Flooded Vegetation","Crops",TRUE,"break_endpoint",454,4.54,15.4895939952235
"kotl","Flooded Vegetation","Crops",TRUE,"break_sustained",99,0.99,3.37768679631525
"kotl","Flooded Vegetation","Crops",TRUE,"flicker",2378,23.78,81.1327192084613
"kotl","Flooded Vegetation","Flooded Vegetation",FALSE,"flicker",36012,360.12,34.39016005195
"kotl","Flooded Vegetation","Flooded Vegetation",FALSE,"stable",68704,687.04,65.60983994805
"kotl","Flooded Vegetation","Rangeland",TRUE,"break_endpoint",15178,151.78,23.5441938386126
